sample_id,planned_duration_months,total_units,predicted_construction_cost_growth,predicted_general_inflation_rate,predicted_usd_growth,project_payment_completion_ratio,overdue_payment_ratio,paid_late_payment_ratio,low_risk_member_ratio,medium_risk_member_ratio,high_risk_member_ratio,cash_flow_pressure_ratio,predicted_delay_months,delay_risk_level
36,30,12,19.4652,24.9842,15.304,0.988,0.0705,0.1319,0.9105,0.06,0.0296,0.1089,4.05,acceptable_delay
37,30,30,38.2798,32.3905,25.462,0.8256,0.1394,0.2399,0.6597,0.1992,0.1411,0.1423,6.1,low
38,42,48,80.9623,51.7049,55.9192,0.4218,0.3561,0.5461,0.2091,0.4357,0.3553,0.4861,36.84,high
39,18,16,37.6337,28.6844,28.7165,0.8212,0.0307,0.067,0.886,0.0926,0.0214,0.1523,3.2,acceptable_delay
40,18,16,42.8285,38.0385,40.1192,0.7971,0.1441,0.0923,0.6239,0.2055,0.1706,0.2506,7.4,low
41,24,20,41.7772,36.1843,33.203,0.6959,0.132,0.1216,0.5501,0.3287,0.1212,0.2631,10.49,low
42,48,60,71.0282,54.3717,55.947,0.5319,0.4185,0.2974,0.3685,0.2431,0.3884,0.4547,46.88,high
43,36,30,62.9123,35.1343,42.5541,0.6067,0.3433,0.3481,0.4058,0.3415,0.2526,0.3934,23.19,medium
44,36,36,75.2979,51.0052,119.9072,0.3086,0.7559,0.6236,0.2529,0.1045,0.6425,0.7978,98.24,critical
45,24,24,52.4749,35.5543,39.2347,0.6142,0.3436,0.2085,0.3409,0.3131,0.346,0.3789,16.93,medium
46,36,30,102.4967,60.7027,86.6147,0.1381,0.7979,0.703,0.1359,0.2504,0.6137,0.8176,78.25,critical
47,24,20,40.0982,30.8884,41.3917,0.8326,0.1235,0.2017,0.6034,0.2212,0.1754,0.2209,6.78,low
48,30,60,57.5453,59.833,55.0947,0.4532,0.4182,0.3798,0.0803,0.3978,0.5219,0.5929,37.25,high
49,36,24,55.4587,43.6756,36.2281,0.6574,0.2682,0.2522,0.4422,0.3169,0.2409,0.2846,19.28,medium
50,24,16,24.9205,35.1727,27.8985,0.9723,0.02,0.0953,0.9022,0.0538,0.0441,0.0303,2.96,acceptable_delay
51,24,16,36.6785,22.5088,26.7241,0.9618,0.0149,0.1124,0.8452,0.085,0.0698,0.0012,2.16,acceptable_delay
52,42,24,56.0402,51.2761,43.5942,0.6437,0.222,0.2427,0.2611,0.4158,0.3231,0.3054,24.0,medium
53,18,12,26.6997,35.4991,14.7354,0.867,0.0252,0.1201,0.7742,0.1697,0.0561,0.0937,1.06,acceptable_delay
54,36,30,37.9023,38.5894,34.4798,0.7867,0.0764,0.1465,0.5354,0.311,0.1537,0.2577,7.51,low
55,24,16,32.7444,40.4772,42.2031,0.8587,0.1434,0.2382,0.5799,0.2891,0.131,0.1598,10.66,low
56,30,30,31.0812,41.1051,27.7473,0.7201,0.1091,0.1768,0.5423,0.2898,0.1679,0.2162,11.08,low
57,36,36,72.2175,56.1622,115.0536,0.2312,0.6845,0.5491,0.1914,0.1726,0.636,0.8089,83.25,critical
58,24,30,62.632,44.3746,60.7389,0.5857,0.2042,0.3688,0.3618,0.4285,0.2097,0.3124,16.05,medium
59,36,36,56.5044,43.7183,55.9802,0.6496,0.2161,0.4019,0.1906,0.5597,0.2497,0.3662,17.64,medium
60,30,30,52.5889,49.1993,49.8905,0.7035,0.2384,0.2306,0.2942,0.5041,0.2017,0.2413,20.42,medium
61,30,12,32.9376,32.5606,28.2888,0.9452,0.0563,0.0595,0.8897,0.0911,0.0191,0.0495,3.1,acceptable_delay
62,36,30,46.978,30.9275,28.24,0.7256,0.098,0.1295,0.5805,0.3347,0.0848,0.191,9.74,low
63,36,20,33.8624,38.5394,36.4006,0.8695,0.127,0.1749,0.4891,0.3639,0.147,0.1726,10.46,low
64,30,24,61.9381,36.9514,40.8579,0.5586,0.1961,0.3547,0.2736,0.3603,0.3662,0.384,24.0,medium
65,30,24,47.2856,30.248,42.3482,0.8099,0.0877,0.1447,0.6191,0.2039,0.177,0.1616,11.52,low
66,30,20,50.0604,44.5057,41.1028,0.6309,0.3449,0.2459,0.1208,0.5404,0.3388,0.3991,17.28,medium
67,18,24,22.4903,25.4757,28.3171,0.8776,0.0661,0.0857,0.8325,0.1579,0.0096,0.056,1.57,acceptable_delay
68,42,36,108.7893,70.5984,79.7164,0.2473,0.7055,0.7034,0.1288,0.2321,0.6391,0.7944,111.5,critical
69,24,16,42.9808,39.5859,40.0455,0.8542,0.1443,0.208,0.5942,0.2569,0.1489,0.2315,9.14,low
70,30,16,42.8452,39.8213,27.3199,0.7135,0.1078,0.1312,0.4924,0.3606,0.147,0.2465,9.15,low
71,36,30,107.7539,71.8707,72.7694,0.3478,0.6265,0.5091,0.0,0.2545,0.7944,0.7326,87.42,critical
72,24,36,49.9078,51.6007,52.295,0.5283,0.1644,0.2254,0.253,0.4876,0.2594,0.3731,22.15,medium
73,36,48,69.5874,42.1138,77.1509,0.4978,0.5897,0.5049,0.4044,0.2293,0.3662,0.5157,51.53,high
74,18,20,43.5602,31.5194,25.4959,0.8035,0.0864,0.1408,0.5816,0.326,0.0924,0.1352,9.83,low
75,42,48,75.4119,56.2034,81.5731,0.3636,0.6009,0.4656,0.0214,0.2905,0.6881,0.5949,56.4,high
76,24,36,43.6922,51.3067,37.0604,0.645,0.2288,0.2553,0.1185,0.5226,0.3589,0.3029,12.54,medium
77,30,24,43.3566,38.1064,55.4974,0.5422,0.3395,0.2781,0.2385,0.4673,0.2942,0.4793,15.02,medium
78,48,48,59.5116,59.7624,79.7705,0.4827,0.3074,0.5025,0.2123,0.3618,0.4259,0.4617,56.98,high
79,36,30,101.0533,54.4331,89.1466,0.2482,0.8492,0.6284,0.042,0.1904,0.7676,0.8281,114.8,critical
80,30,24,23.6829,32.1323,23.1313,0.9831,0.0699,0.05,0.8965,0.0569,0.0466,0.0462,5.56,acceptable_delay
81,18,12,25.858,29.6953,19.819,0.8298,0.0003,0.0131,0.7853,0.1488,0.0659,0.1308,1.0,acceptable_delay
82,36,30,77.7928,56.7141,60.4513,0.4662,0.3686,0.4458,0.2325,0.3052,0.4622,0.5242,35.39,high
83,42,36,49.309,40.4421,40.3223,0.6727,0.2547,0.4177,0.4359,0.3172,0.2469,0.2774,16.62,medium
84,36,24,54.9177,41.555,51.2487,0.6065,0.1716,0.2467,0.1652,0.545,0.2898,0.3917,14.92,medium
85,42,48,74.6857,55.667,53.4413,0.4366,0.4338,0.388,0.3923,0.1878,0.4199,0.4944,48.24,high
86,24,20,55.4909,50.507,52.6676,0.5257,0.298,0.4021,0.3888,0.444,0.1672,0.3833,22.96,medium
87,24,16,37.0558,23.9989,22.1515,0.9606,0.0028,0.0101,0.8381,0.0996,0.0623,0.0454,3.55,acceptable_delay
88,30,24,21.0959,26.1539,29.3742,0.9243,0.0434,0.1122,0.8544,0.141,0.0046,0.0858,3.92,acceptable_delay
89,36,48,51.2218,50.6601,50.7675,0.4888,0.1961,0.2287,0.2527,0.3988,0.3485,0.3951,24.0,medium
90,30,12,28.042,34.6064,26.009,0.942,0.0496,0.018,0.8766,0.0628,0.0606,0.1537,6.0,acceptable_delay
91,48,48,71.8249,47.7068,84.5373,0.5115,0.3795,0.4534,0.0,0.4102,0.6772,0.5308,58.15,high
92,24,24,64.2666,36.2712,50.5346,0.6848,0.3457,0.3,0.4612,0.297,0.2418,0.371,14.64,medium
93,36,30,74.9022,57.7714,51.883,0.3044,0.5537,0.2967,0.235,0.2869,0.4781,0.6449,49.96,high
94,36,36,108.3449,58.1844,104.4819,0.2551,0.6988,0.3506,0.261,0.0771,0.6619,0.7215,109.23,critical
95,30,24,55.644,60.4034,80.4312,0.3695,0.3288,0.5574,0.1373,0.3808,0.482,0.6118,36.43,high
96,36,30,30.877,41.6777,28.8502,0.7828,0.1738,0.1085,0.5166,0.3091,0.1743,0.1588,6.95,low
97,18,20,28.1751,23.6991,14.0196,0.845,0.0632,0.0039,0.8556,0.1001,0.0443,0.1834,3.72,acceptable_delay
98,24,48,46.9718,46.8446,57.5855,0.6748,0.2846,0.3519,0.2465,0.3972,0.3563,0.3209,12.78,medium
99,30,20,37.5412,28.63,12.3102,0.9613,0.0377,0.1342,0.8268,0.152,0.0212,0.05,2.12,acceptable_delay
100,42,48,79.0569,56.5811,79.7301,0.3484,0.5619,0.3635,0.0426,0.2471,0.7102,0.6559,28.85,high
101,36,48,62.2225,42.8235,50.5556,0.6569,0.2105,0.3914,0.255,0.4901,0.255,0.3497,17.0,medium
102,30,30,50.2931,48.7706,55.0592,0.6213,0.277,0.2372,0.3312,0.4553,0.2135,0.2956,14.58,medium
103,36,80,93.6253,69.3143,83.4259,0.2204,0.7131,0.4655,0.171,0.054,0.775,0.7411,116.48,critical
104,60,80,98.8114,63.1119,70.4191,0.3552,0.573,0.3606,0.0,0.1965,0.8594,0.6623,88.66,critical
105,30,16,45.6806,34.1322,29.3992,0.7168,0.0682,0.1659,0.587,0.3089,0.1041,0.1647,7.07,low
106,30,24,45.7908,49.8684,43.7301,0.695,0.161,0.3028,0.2694,0.4795,0.2511,0.2595,17.95,medium
107,48,48,59.8939,43.3112,65.1205,0.3623,0.5961,0.3963,0.0886,0.3254,0.586,0.6031,55.22,high
108,36,60,65.4556,43.3853,80.4695,0.5307,0.5106,0.3166,0.142,0.4476,0.4104,0.4655,59.68,high
109,24,24,52.2352,51.2793,46.068,0.4991,0.2677,0.1983,0.3414,0.4252,0.2333,0.383,22.2,medium
110,24,48,64.6894,43.2247,36.2973,0.5024,0.2148,0.4153,0.1095,0.5676,0.3229,0.4166,17.17,medium
111,42,48,71.2953,51.4662,70.843,0.2017,0.8168,0.7326,0.0,0.2421,0.7806,0.8244,89.79,critical
112,24,24,29.054,22.7856,10.189,0.8508,0.04,0.0651,0.7997,0.1375,0.0628,0.1836,1.28,acceptable_delay
113,24,16,42.8124,38.9702,30.0884,0.6936,0.096,0.1735,0.643,0.2073,0.1497,0.2265,8.96,low
114,36,24,41.0773,30.549,41.525,0.8469,0.0965,0.1751,0.7033,0.1864,0.1102,0.09,8.5,low
115,18,16,48.7701,38.5359,41.7092,0.8701,0.1366,0.2004,0.5489,0.3855,0.0656,0.1004,10.8,low
116,36,48,79.2526,60.9608,54.0631,0.3244,0.3422,0.573,0.2397,0.1864,0.5739,0.5898,55.14,high
117,42,30,107.0491,62.2387,119.6128,0.3228,0.8106,0.39,0.1315,0.1073,0.7612,0.7704,64.54,critical
118,30,60,58.1145,42.0808,82.7077,0.4595,0.3527,0.3248,0.117,0.2704,0.6126,0.4714,53.04,high
119,42,24,59.6046,42.986,38.783,0.6066,0.3492,0.2928,0.2706,0.4132,0.3162,0.4189,12.95,medium
120,18,12,21.3441,25.8635,15.995,0.9609,0.0289,0.1416,0.8181,0.1242,0.0577,0.0852,1.9,acceptable_delay
121,30,24,69.484,58.4865,67.5377,0.337,0.4064,0.4674,0.0611,0.3163,0.6225,0.6143,59.69,high
122,48,24,79.1643,60.2668,80.1518,0.5219,0.3074,0.2924,0.1224,0.2456,0.632,0.4348,28.81,high
123,36,24,59.1204,38.2953,60.78,0.6333,0.3527,0.3905,0.1441,0.5498,0.3061,0.3763,24.0,medium
124,24,20,47.656,44.9678,58.5471,0.5329,0.1911,0.2928,0.4024,0.3361,0.2614,0.383,15.05,medium
125,36,24,73.5062,47.5152,57.7083,0.2919,0.3039,0.2939,0.2629,0.2323,0.5048,0.6283,58.21,high
126,24,24,29.1457,23.8773,14.8572,0.8566,0.0517,0.1383,0.8847,0.0476,0.0678,0.166,1.22,acceptable_delay
127,48,30,83.296,42.4767,57.2259,0.4332,0.3551,0.5746,0.0105,0.3877,0.6018,0.5583,47.93,high
128,42,80,104.2456,53.1162,91.0112,0.2815,0.6742,0.7411,0.1724,0.0978,0.7298,0.7023,70.94,critical
129,30,60,79.9377,45.7616,53.1216,0.5209,0.5393,0.4385,0.3212,0.2647,0.4141,0.4542,28.3,high
130,30,20,33.9611,31.9835,11.6408,0.8478,0.0569,0.0951,0.8507,0.0902,0.0592,0.0846,1.0,acceptable_delay
131,30,20,55.8439,49.7731,42.5456,0.6478,0.3212,0.2684,0.2301,0.4777,0.2922,0.3604,17.62,medium
132,42,30,62.7229,37.7253,40.3728,0.595,0.2897,0.2438,0.3081,0.445,0.2469,0.4186,21.64,medium
133,36,36,60.699,55.7196,74.9417,0.4293,0.3654,0.4027,0.2459,0.2116,0.5424,0.5661,36.26,high
134,30,16,22.3826,23.87,13.0637,0.9546,0.0485,0.0624,0.8366,0.1195,0.0439,0.0814,3.12,acceptable_delay
135,42,20,59.4537,50.6661,51.07,0.5167,0.3026,0.2418,0.3273,0.4161,0.2566,0.4076,19.91,medium
136,24,30,42.6271,41.4331,40.3348,0.7613,0.0641,0.2273,0.4373,0.4057,0.157,0.2,9.45,low
137,18,20,26.1773,32.7656,25.3166,0.9961,0.0517,0.0631,0.8179,0.1027,0.0794,0.1113,4.73,acceptable_delay
138,36,60,89.7959,63.3049,89.2237,0.142,0.7183,0.7161,0.0085,0.2296,0.7619,0.7832,113.65,critical
139,30,48,72.1497,49.1904,50.7173,0.3978,0.4425,0.39,0.2142,0.274,0.5118,0.5384,58.78,high
140,48,30,106.4368,65.5085,118.4711,0.3146,0.8472,0.4149,0.11,0.1805,0.7095,0.7941,76.77,critical
141,24,30,47.8273,30.9559,36.7018,0.6909,0.1123,0.1167,0.648,0.2227,0.1292,0.2354,8.66,low
142,30,36,63.891,48.3065,38.3346,0.6064,0.3339,0.3213,0.3558,0.3087,0.3356,0.3758,19.96,medium
143,36,48,58.5213,45.2098,44.4427,0.4986,0.2432,0.3026,0.4178,0.3777,0.2045,0.3914,23.04,medium
144,24,24,19.5497,26.0002,15.4343,0.8775,0.0432,0.0208,0.8196,0.1619,0.0185,0.142,1.0,acceptable_delay
145,24,16,30.7929,23.4575,19.9237,0.8796,0.0062,0.052,0.8236,0.1509,0.0256,0.1667,5.08,acceptable_delay
146,18,12,29.2537,23.4139,15.7219,0.9164,0.0275,0.0616,0.8471,0.1223,0.0306,0.1041,1.0,acceptable_delay
147,24,36,54.0741,46.1269,54.7921,0.521,0.2287,0.349,0.4699,0.3346,0.1955,0.4542,19.36,medium
148,36,48,52.6606,44.7342,50.3442,0.6045,0.1841,0.2715,0.1211,0.5574,0.3215,0.2994,13.93,medium
149,42,30,96.3564,54.2735,81.1954,0.1978,0.7359,0.3845,0.0058,0.2684,0.7259,0.7821,110.69,critical
150,24,48,62.9288,49.8921,39.4772,0.5824,0.2953,0.3002,0.1814,0.546,0.2726,0.4012,22.76,medium
151,24,12,35.8854,31.4377,12.3067,0.9533,0.0002,0.1288,0.9603,0.0387,0.001,0.0368,4.37,acceptable_delay
152,24,16,33.1182,26.0214,15.7083,0.8306,0.0615,0.0978,0.8111,0.1704,0.0186,0.1934,1.85,acceptable_delay
153,18,24,24.2837,35.504,29.3745,0.8725,0.0556,0.0737,0.8779,0.0761,0.0461,0.1064,4.42,acceptable_delay
154,30,24,37.3784,26.5693,22.6825,0.961,0.036,0.0342,0.8544,0.1013,0.0442,0.0249,3.19,acceptable_delay
155,36,16,44.5263,42.7784,36.9153,0.7835,0.1792,0.1313,0.6777,0.2333,0.089,0.266,7.23,low
156,18,12,36.582,34.3021,26.6333,0.8754,0.0046,0.1317,0.878,0.0463,0.0758,0.1093,1.58,acceptable_delay
157,36,48,96.5929,74.9601,104.7953,0.3284,0.8497,0.4623,0.0,0.2953,0.8719,0.8516,86.04,critical
158,24,48,56.0221,49.5926,37.7504,0.615,0.2565,0.2201,0.4812,0.3416,0.1772,0.3259,22.21,medium
159,24,12,31.6059,32.0369,19.7766,0.9818,0.0356,0.0083,0.8805,0.1089,0.0106,0.0612,3.52,acceptable_delay
160,18,16,28.0779,26.0497,26.3157,0.9517,0.0255,0.0897,0.8553,0.0909,0.0538,0.0446,1.43,acceptable_delay
161,36,36,44.2711,37.4218,59.1113,0.5419,0.3477,0.3959,0.4862,0.3519,0.1619,0.4241,16.08,medium
162,24,24,24.2901,23.9576,15.5394,0.8352,0.0443,0.09,0.7734,0.178,0.0486,0.1679,5.22,acceptable_delay
163,18,12,27.5249,32.8922,20.2648,0.8396,0.0403,0.1418,0.8177,0.1788,0.0035,0.1822,3.19,acceptable_delay
164,42,24,58.4287,43.9812,46.3941,0.5558,0.1633,0.3943,0.3321,0.422,0.2459,0.3595,24.0,medium
165,24,12,23.8689,22.6133,13.9894,0.8275,0.0747,0.0773,0.7877,0.1332,0.0791,0.1246,3.83,acceptable_delay
166,42,60,72.1032,43.6442,84.9804,0.3995,0.313,0.4308,0.1491,0.2539,0.597,0.543,57.37,high
167,24,20,57.1899,40.4679,42.7036,0.5472,0.2774,0.2834,0.3646,0.4274,0.208,0.3702,15.02,medium
168,18,16,33.998,39.7524,28.2187,0.7373,0.0901,0.2227,0.6094,0.2508,0.1398,0.258,7.13,low
169,30,20,31.8857,35.9848,28.1221,0.733,0.1668,0.1225,0.6646,0.2521,0.0833,0.2492,9.09,low
170,42,30,47.7976,37.9938,38.8269,0.5457,0.1672,0.3897,0.3403,0.4059,0.2538,0.328,23.09,medium
171,48,30,83.6072,59.732,107.8378,0.129,0.6793,0.6747,0.2345,0.0975,0.668,0.8323,110.71,critical
172,30,20,32.5037,29.8264,28.2525,0.9904,0.072,0.0982,0.9098,0.0724,0.0178,0.1115,3.37,acceptable_delay
173,36,30,47.3669,38.1639,34.5208,0.8188,0.0744,0.1671,0.4923,0.3829,0.1248,0.1235,6.19,low
174,42,30,58.0185,46.0654,60.016,0.6566,0.2009,0.1883,0.1937,0.4693,0.337,0.3544,21.85,medium
175,30,20,29.547,31.864,10.9165,0.861,0.0232,0.012,0.9322,0.0492,0.0186,0.0851,3.46,acceptable_delay
176,48,30,70.0946,51.9945,78.1694,0.3359,0.4919,0.3713,0.1964,0.3432,0.4604,0.5997,39.9,high
177,30,20,49.9199,42.7216,30.5176,0.6924,0.0909,0.1458,0.4023,0.4177,0.18,0.3156,11.79,low
178,30,30,41.9307,30.895,32.5642,0.7064,0.062,0.1689,0.4875,0.3442,0.1682,0.281,9.43,low
179,42,36,80.6614,51.3982,67.0726,0.4845,0.5686,0.4446,0.0785,0.3642,0.5573,0.5816,54.27,high
180,48,48,109.7972,55.9127,80.2445,0.17,0.5356,0.5382,0.2799,0.0854,0.6347,0.7372,111.62,critical
181,48,30,76.4671,56.8505,60.0281,0.3039,0.4175,0.5208,0.1677,0.2808,0.5515,0.6771,53.07,high
182,30,20,45.7281,47.7185,39.4873,0.585,0.3541,0.1894,0.4212,0.3312,0.2476,0.444,19.64,medium
183,24,24,44.6323,35.6545,53.4799,0.6865,0.2718,0.1901,0.3868,0.2982,0.315,0.3612,15.68,medium
184,42,60,71.0688,49.8435,80.067,0.4136,0.4485,0.5226,0.0542,0.4295,0.5163,0.5194,36.9,high
185,36,30,37.3054,32.4764,31.8905,0.8111,0.1524,0.1088,0.5274,0.3772,0.0955,0.2363,9.81,low
186,48,80,102.4305,69.3733,100.5606,0.303,0.5632,0.5287,0.0,0.2652,0.864,0.7033,74.41,critical
187,42,48,76.3924,55.4656,55.4054,0.4974,0.3411,0.4505,0.0826,0.2495,0.6679,0.4709,57.17,high
188,30,20,36.6941,24.8596,24.3238,0.863,0.0317,0.1008,0.8859,0.0901,0.024,0.1537,1.03,acceptable_delay
189,48,30,73.4115,43.8991,73.9338,0.4402,0.5161,0.2593,0.264,0.1987,0.5373,0.5287,36.59,high
190,48,30,91.9701,71.2243,77.3621,0.2653,0.6256,0.6206,0.1446,0.1165,0.7389,0.7723,86.43,critical
191,30,16,23.5494,26.3387,20.2261,0.8566,0.0646,0.0805,0.8182,0.1505,0.0313,0.1798,3.18,acceptable_delay
192,30,20,36.3737,30.2624,23.4422,0.8764,0.0191,0.0175,0.9133,0.0569,0.0299,0.0926,3.78,acceptable_delay
193,30,20,25.6181,30.3635,15.898,0.911,0.0344,0.119,0.8365,0.1544,0.0092,0.1435,3.98,acceptable_delay
194,48,36,73.504,61.5892,79.7708,0.538,0.3826,0.4343,0.0,0.3999,0.679,0.477,50.34,high
195,36,30,68.8664,61.2495,50.2409,0.2887,0.5166,0.5361,0.0,0.4128,0.7183,0.6238,41.56,high
196,30,12,20.064,27.1459,15.9851,0.8889,0.0651,0.1312,0.79,0.1587,0.0513,0.0579,3.46,acceptable_delay
197,48,60,70.6885,46.8938,77.9044,0.3293,0.5996,0.533,0.1918,0.3737,0.4345,0.5988,60.0,high
198,48,48,105.5363,54.5655,80.6155,0.3241,0.581,0.4606,0.0,0.1876,0.8693,0.7122,116.02,critical
199,18,30,38.7612,38.5611,26.7001,0.7087,0.1081,0.1804,0.5347,0.4021,0.0632,0.299,7.74,low
200,36,30,60.6465,47.0922,37.062,0.4805,0.3459,0.2157,0.3231,0.3761,0.3008,0.4493,22.93,medium
201,24,20,22.1901,25.7377,28.7331,0.9366,0.0487,0.0257,0.8806,0.061,0.0583,0.0713,5.62,acceptable_delay
202,60,80,82.9751,65.2471,107.7994,0.3164,0.6006,0.4547,0.2709,0.1267,0.6024,0.6937,116.64,critical
203,30,16,28.3199,29.7267,16.6198,0.8967,0.037,0.1197,0.8842,0.0654,0.0504,0.1275,3.04,acceptable_delay
204,36,36,50.4484,37.04,37.2312,0.5974,0.2904,0.3023,0.3928,0.4519,0.1553,0.372,16.88,medium
205,42,48,67.1271,49.5413,67.1663,0.4126,0.4029,0.4098,0.1918,0.3144,0.4939,0.5881,37.11,high
206,36,24,54.3146,39.1693,56.0608,0.6687,0.3118,0.3382,0.2263,0.5605,0.2132,0.3556,20.92,medium
207,36,30,36.5669,38.5725,38.8692,0.7105,0.128,0.2173,0.6049,0.2205,0.1746,0.2277,11.5,low
208,18,30,39.9057,31.0802,40.0616,0.8186,0.1088,0.1171,0.666,0.2374,0.0966,0.2467,6.68,low
209,42,36,85.8801,61.9337,111.9033,0.2642,0.7648,0.5129,0.1147,0.2307,0.6546,0.8241,100.14,critical
210,18,20,34.1422,25.8077,11.2774,0.9482,0.0461,0.0116,0.8652,0.0984,0.0364,0.0777,3.1,acceptable_delay
211,24,20,36.2535,29.0335,17.7676,0.8524,0.0255,0.0329,0.7504,0.1779,0.0717,0.0678,5.72,acceptable_delay
212,48,36,77.9024,48.2695,84.9684,0.3314,0.4879,0.2641,0.2139,0.3055,0.4806,0.6108,60.0,high
213,42,30,90.7182,65.621,73.5718,0.3019,0.6914,0.6451,0.2059,0.0912,0.703,0.6955,113.45,critical
214,24,30,46.7133,32.6725,41.575,0.8557,0.149,0.154,0.6465,0.1973,0.1562,0.2035,6.93,low
215,48,36,69.9905,45.6913,64.05,0.3412,0.6154,0.4589,0.1413,0.383,0.4757,0.6517,27.81,high
216,18,16,37.4563,35.8813,35.029,0.8459,0.1164,0.1704,0.4468,0.3959,0.1573,0.1665,8.67,low
217,24,16,43.651,34.1722,43.3186,0.869,0.1063,0.1718,0.5145,0.3987,0.0868,0.1921,8.97,low
218,36,16,40.8026,30.043,44.0831,0.8436,0.1178,0.1764,0.5623,0.2661,0.1716,0.2026,8.9,low
