year,month,date,general_inflation_rate,cpi_index,cpi_yoy_growth_from_index,housing_cpi_index,housing_cpi_growth,producer_price_index,producer_price_yoy_growth,construction_cost_growth,interest_rate,usd_rate_toman,usd_rate_irr,usd_growth,transaction_volume,transaction_volume_growth,avg_price_per_sqm_million_irr,housing_growth_rate,source,notes
2022,7,2022-07-01,49.1,132.7,47.4444,,,626.4,49.3562,49.3562,18.0,36260.0,362600.0,37.8707,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,8,2022-08-01,47.8,138.5,49.085,,,626.4,49.3562,49.3562,18.0,40500.0,405000.0,48.8971,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,9,2022-09-01,45.7,141.5,47.8579,,,626.4,49.3562,49.3562,18.0,44600.0,446000.0,60.7207,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,10,2022-10-01,44.8,148.3,49.496,,,671.0,43.2231,43.2231,18.0,50800.0,508000.0,72.0867,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,11,2022-11-01,44.9,151.5,47.9492,,,671.0,43.2231,43.2231,18.0,52350.0,523500.0,91.7582,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2022,12,2022-12-01,45.6,154.8,48.134,,,671.0,43.2231,43.2231,18.0,51675.0,516750.0,98.75,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,1,2023-01-01,47.4,160.7,51.1759,,,722.2,40.1514,40.1514,23.0,49020.0,490200.0,76.9675,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,2,2023-02-01,49.4,166.2,52.3373,,,722.2,40.1514,40.1514,23.0,49125.0,491250.0,65.1261,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,3,2023-03-01,54.0,174.1,56.4241,,,722.2,40.1514,40.1514,23.0,49150.0,491500.0,56.4041,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,4,2023-04-01,55.5,180.5,59.7345,,,793.8,46.7825,46.7825,23.0,50440.0,504400.0,59.8732,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,5,2023-05-01,54.6,185.5,59.7761,159.3,,793.8,46.7825,46.7825,23.0,50975.0,509750.0,67.5707,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,6,2023-06-01,42.6,189.3,57.75,163.5,,793.8,46.7825,46.7825,23.0,50000.0,500000.0,50.7159,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,7,2023-07-01,39.4,193.0,45.4408,167.1,,892.0,42.401,42.401,23.0,54000.0,540000.0,48.9244,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,8,2023-08-01,39.8,197.7,42.7437,172.6,,892.0,42.401,42.401,23.0,57500.0,575000.0,41.9753,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,9,2023-09-01,39.5,201.7,42.5442,178.4,,892.0,42.401,42.401,23.0,61500.0,615000.0,37.8924,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,10,2023-10-01,39.2,206.5,39.2448,186.1,,975.2,45.3353,45.3353,23.0,61920.0,619200.0,21.8898,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,11,2023-11-01,39.2,210.9,39.2079,193.5,,975.2,45.3353,45.3353,23.0,60350.0,603500.0,15.2818,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2023,12,2023-12-01,40.2,217.0,40.1809,199.9,,975.2,45.3353,45.3353,23.0,58900.0,589000.0,13.9816,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,1,2024-01-01,38.5,222.7,38.5812,205.8,,993.4,37.5519,37.5519,23.0,59625.0,596250.0,21.634,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,2,2024-02-01,35.8,225.7,35.8002,211.5,,993.4,37.5519,37.5519,23.0,62625.0,626250.0,27.4809,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,3,2024-03-01,32.3,230.2,32.2229,216.6,,993.4,37.5519,37.5519,23.0,68960.0,689600.0,40.3052,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,4,2024-04-01,30.9,236.3,30.9141,220.6,,1020.0,28.4958,28.4958,23.0,75575.0,755750.0,49.8315,1508.0,-14.2,816.3,22.9,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction; CBI Tehran housing market PDF audit,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman; official CBI verified Apr-Aug 2024 values
2024,5,2024-05-01,31.0,243.0,30.9973,225.9,41.8079,1020.0,28.4958,28.4958,23.0,82025.0,820250.0,60.9122,4875.0,11.8,847.5,12.5,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction; CBI Tehran housing market PDF audit,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman; official CBI verified Apr-Aug 2024 values
2024,6,2024-06-01,31.9,249.7,31.907,230.9,41.2232,1020.0,28.4958,28.4958,23.0,91540.0,915400.0,83.08,3872.0,14.1,859.1,9.7,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction; CBI Tehran housing market PDF audit,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman; official CBI verified Apr-Aug 2024 values
2024,7,2024-07-01,32.2,255.2,32.228,237.4,42.0706,1450.0,62.5561,62.5561,23.0,96250.0,962500.0,78.2407,3559.0,27.1,874.6,14.3,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction; CBI Tehran housing market PDF audit,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman; official CBI verified Apr-Aug 2024 values
2024,8,2024-08-01,31.6,260.2,31.6136,245.3,42.1205,1450.0,62.5561,62.5561,23.0,82250.0,822500.0,43.0435,3665.0,26.2,885.0,16.8,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction; CBI Tehran housing market PDF audit,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman; official CBI verified Apr-Aug 2024 values
2024,9,2024-09-01,31.2,264.7,31.2345,252.4,41.4798,1450.0,62.5561,62.5561,23.0,87100.0,871000.0,41.626,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,10,2024-10-01,34.5,271.8,31.6223,261.1,40.3009,1620.0,66.1198,66.1198,23.0,97000.0,970000.0,56.6537,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,11,2024-11-01,32.5,279.5,32.5273,269.0,39.0181,1620.0,66.1198,66.1198,23.0,106750.0,1067500.0,76.8848,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2024,12,2024-12-01,31.4,285.1,31.3825,275.8,37.969,1620.0,66.1198,66.1198,23.0,112180.0,1121800.0,90.4584,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
2025,1,2025-01-01,31.8,293.4,31.7467,283.8,37.9009,1890.0,90.2557,90.2557,23.0,132675.0,1326750.0,122.5157,,,,,TradingEconomics chart manual extraction; TradingEconomics CPI chart manual extraction; TradingEconomics CPI Housing & Utilities chart manual extraction; TradingEconomics Producer Prices chart manual extraction; TradingEconomics Interest Rate chart manual extraction; TGJU weekly free-market USD chart manual extraction,general inflation rate manually entered by user; CPI alignment anchored to Aug/Sep 2025; one early monthly value may be missing; housing/utilities CPI manually entered by user; quarterly producer price index forward-filled to months; Q2 2020 missing from supplied list; interest rate entered as period rule; weekly values averaged to Gregorian month; values entered in thousand toman
