sample_id,total_units,reserved_units,share_percent,current_construction_cost,construction_cost_growth,next_year_estimated_construction_cost,required_next_year_amount,total_scheduled_amount,total_due_amount,total_paid_amount,unpaid_amount,due_unpaid_amount,payment_completion_ratio,due_payment_completion_ratio,unpaid_amount_ratio,due_unpaid_amount_ratio,total_payments,paid_on_time_count,paid_late_count,unpaid_count,overdue_count,average_delay_days,max_delay_days,general_inflation_rate,usd_growth,risk_score,risk_label
30,30,1,3.3333,120000000000.0,57.1663,188599569908.02,523887694.19,1531995328.94,1414399679.23,1389413895.88,142581433.06,24985783.35,0.9069,0.9823,0.0931,0.0177,14,12,1,1,0,3.94,9,45.6579,78.3866,9.0,low
31,48,2,4.1667,160000000000.0,43.7645,230023159936.91,798691527.56,3088833884.46,2843549275.9,2658415450.35,430418434.11,185133825.55,0.8607,0.9349,0.1393,0.0651,13,9,3,1,0,7.94,15,48.3233,97.3719,22.9556,low
32,24,2,8.3333,160000000000.0,82.3093,291694889916.95,2025658957.76,4603183160.25,3924020926.21,3205949734.08,1397233426.17,718071192.13,0.6965,0.817,0.3035,0.183,13,7,4,2,0,15.94,23,28.8884,118.8714,42.8262,medium
33,60,1,1.6667,160000000000.0,32.2926,211668217153.7,293983634.94,694638579.34,469219046.63,192292776.05,502345803.29,276926270.59,0.2768,0.4098,0.7232,0.5902,9,1,2,3,3,28.07,61,20.0,129.5746,84.6016,high
34,36,1,2.7778,300000000000.0,39.3869,418160811269.19,967964840.9,1984125585.68,1693260355.5,1672953630.55,311171955.13,20306724.95,0.8432,0.988,0.1568,0.012,7,5,1,1,0,3.24,7,46.4097,117.4101,11.434,low
35,24,1,4.1667,160000000000.0,58.2515,253202387809.06,879174957.67,2478509352.89,2189923225.68,1630163736.77,848345616.12,559759488.9,0.6577,0.7444,0.3423,0.2556,11,6,4,1,0,17.96,25,41.6287,53.4403,40.1069,medium
36,48,1,2.0833,160000000000.0,46.5097,234415533836.75,406971412.91,830338004.45,668950070.71,653496695.68,176841308.77,15453375.04,0.787,0.9769,0.213,0.0231,9,6,1,2,0,8.94,16,56.6078,56.2426,12.9452,low
37,60,1,1.6667,120000000000.0,42.834,171400858406.34,238056747.79,411136762.43,338488084.68,307715946.68,103420815.75,30772138.0,0.7485,0.9091,0.2515,0.0909,7,6,0,1,0,0.53,2,37.2321,185.0,18.4534,low
38,24,2,8.3333,220000000000.0,67.4756,368446413762.36,2558655651.13,10245572216.79,8793379096.92,6712249558.33,3533322658.46,2081129538.59,0.6551,0.7633,0.3449,0.2367,14,7,4,2,1,18.56,28,37.4647,108.6303,47.1859,medium
39,24,1,4.1667,220000000000.0,72.6457,379820559443.09,1318821386.96,4236068491.73,3875753707.89,3615031944.46,621036547.27,260721763.42,0.8534,0.9327,0.1466,0.0673,12,9,2,1,0,6.91,8,57.1926,112.8434,9.3106,low
40,36,1,2.7778,90000000000.0,54.9426,139448325436.13,322797049.62,882779183.28,709726830.54,564063908.98,318715274.3,145662921.56,0.639,0.7948,0.361,0.2052,10,4,3,2,1,28.85,47,50.1566,95.0421,54.7131,medium
41,30,1,3.3333,220000000000.0,41.919,312221717655.5,867282549.04,2846837753.33,2939955032.2,2121055216.9,725782536.43,818899815.3,0.7451,0.7215,0.2549,0.2785,12,7,4,0,1,11.83,19,45.7657,84.1595,46.1574,medium
42,20,1,5.0,90000000000.0,62.3001,146070054733.01,608625228.05,2246596614.01,2011915638.58,1968625209.98,277971404.03,43290428.6,0.8763,0.9785,0.1237,0.0215,13,11,1,1,0,4.97,7,49.9024,98.7749,9.0,low
43,36,1,2.7778,90000000000.0,34.9356,121442055722.88,281115869.73,703673485.23,552386239.05,502660891.18,201012594.05,49725347.87,0.7143,0.91,0.2857,0.09,10,6,2,2,0,4.34,18,40.6331,150.5239,19.128,low
44,60,1,1.6667,120000000000.0,53.1084,183730029242.48,255180596.17,705461517.07,614340957.26,537330824.72,168130692.35,77010132.54,0.7617,0.8746,0.2383,0.1254,10,7,2,1,0,2.99,12,41.864,120.7645,22.0218,low
45,48,1,2.0833,90000000000.0,51.8146,136633160581.26,237210348.23,628175380.66,574335940.59,412862672.98,215312707.68,161473267.61,0.6572,0.7189,0.3428,0.2811,10,4,3,1,2,28.05,42,39.1947,82.5292,56.6754,medium
46,16,1,6.25,220000000000.0,51.2032,332647012359.14,1732536522.7,4318045594.99,4336866397.36,3649536978.05,668508616.95,687329419.31,0.8452,0.8415,0.1548,0.1585,11,6,4,0,1,7.95,35,46.0558,53.0003,36.2809,medium
47,12,1,8.3333,220000000000.0,35.7939,298746583595.15,2074629052.74,7351756745.56,7518495017.69,6833627789.64,518128955.91,684867228.05,0.9295,0.9089,0.0705,0.0911,11,9,1,0,1,5.03,19,51.5325,49.6762,19.4929,low
48,24,1,4.1667,90000000000.0,63.1501,146835046848.3,509843912.67,1478511966.03,1043235140.08,416916018.99,1061595947.04,626319121.08,0.282,0.3996,0.718,0.6004,10,2,2,3,3,33.38,45,44.2083,92.8273,81.6061,high
49,20,2,10.0,90000000000.0,61.1782,145060361402.47,1208836345.02,5847963423.13,4706879569.7,2694696383.88,3153267039.25,2012183185.82,0.4608,0.5725,0.5392,0.4275,16,6,5,3,2,16.16,29,33.7135,133.0677,67.6195,high
50,24,1,4.1667,90000000000.0,30.0775,117069729069.91,406492114.83,1842098748.18,1782838574.29,1323646562.67,518452185.52,459192011.62,0.7186,0.7424,0.2814,0.2576,15,5,6,1,3,15.97,26,31.016,55.8501,57.6881,medium
51,30,2,6.6667,70000000000.0,45.8379,102086561822.12,567147565.68,1633672708.75,1538163715.89,1441097093.19,192575615.56,97066622.69,0.8821,0.9369,0.1179,0.0631,11,8,2,1,0,9.53,12,42.0291,97.7803,16.3718,low
52,12,1,8.3333,160000000000.0,71.264,274022370892.62,1902933131.2,6035867328.39,5138402898.53,4489044384.9,1546822943.49,649358513.63,0.7437,0.8736,0.2563,0.1264,16,11,2,2,1,6.58,10,37.7732,126.6255,33.4415,low
53,36,1,2.7778,120000000000.0,65.248,198297568273.73,459022148.78,737074595.3,762915567.19,727342911.82,9731683.48,35572655.38,0.9868,0.9534,0.0132,0.0466,7,6,1,0,0,0.29,7,54.244,106.9829,9.8749,low
54,24,1,4.1667,90000000000.0,84.6763,166208669660.82,577113436.32,2374305768.3,2467244146.92,2207510418.02,166795350.28,259733728.89,0.9297,0.8947,0.0703,0.1053,16,12,3,0,1,10.17,17,45.4797,142.9674,30.1767,low
55,24,1,4.1667,90000000000.0,23.3073,110976605592.51,385335436.09,976922628.31,948966683.61,431517197.74,545405430.57,517449485.86,0.4417,0.4547,0.5583,0.5453,8,3,3,0,2,35.87,83,50.7101,78.8147,88.9197,high
56,30,1,3.3333,70000000000.0,58.3028,110811953188.07,307810981.08,1161594317.24,1042829160.22,867009382.54,294584934.7,175819777.68,0.7464,0.8314,0.2536,0.1686,16,8,6,2,0,19.64,25,53.6789,66.112,39.1087,medium
57,16,1,6.25,300000000000.0,69.8351,509505337232.5,2653673631.42,10080025657.72,7931258724.43,3605681407.72,6474344249.99,4325577316.7,0.3577,0.4546,0.6423,0.5454,15,2,5,3,5,35.3,106,45.2667,74.8163,83.2583,high
58,36,1,2.7778,90000000000.0,64.5864,148127725008.42,342888252.33,1378869318.51,1127807678.97,429948539.47,948920779.05,697859139.5,0.3118,0.3812,0.6882,0.6188,16,3,5,3,5,39.44,70,36.1164,111.7066,87.5744,high
59,36,1,2.7778,120000000000.0,66.6675,200001018168.9,462965319.84,783372004.67,476655838.19,272724826.53,510647178.14,203931011.66,0.3481,0.5722,0.6519,0.4278,8,1,2,3,2,64.62,112,58.171,146.3591,93.5133,high
60,16,1,6.25,120000000000.0,22.735,147281953091.94,767093505.69,1524547123.11,1483353409.34,1403638986.93,120908136.18,79714422.41,0.9207,0.9463,0.0793,0.0537,7,6,1,0,0,5.09,9,34.7642,113.3551,9.0,low
61,20,1,5.0,220000000000.0,55.2683,341590347230.21,1423293113.46,2281404508.62,1557250817.84,1049518624.63,1231885883.99,507732193.2,0.46,0.674,0.54,0.326,6,2,1,2,1,22.25,51,37.3337,79.4475,62.6418,medium
62,24,1,4.1667,120000000000.0,58.5213,190225589353.04,660505518.59,2662510540.02,2537291580.77,2173416726.79,489093813.23,363874853.98,0.8163,0.8566,0.1837,0.1434,14,8,4,1,1,13.47,17,56.8429,185.0,33.7203,low
63,36,1,2.7778,120000000000.0,58.6052,190326239325.01,440569998.44,754442246.05,646431741.06,605116643.71,149325602.34,41315097.36,0.8021,0.9361,0.1979,0.0639,7,5,1,1,0,9.62,14,23.699,94.6891,19.7649,low
64,24,1,4.1667,160000000000.0,55.6243,248998806290.13,864579188.51,2063067800.89,1823837202.3,1533025402.67,530042398.22,290811799.63,0.7431,0.8405,0.2569,0.1595,11,8,2,1,0,8.85,13,52.8406,125.2189,22.7333,low
65,12,1,8.3333,120000000000.0,69.9555,203946568924.02,1416295617.53,5437250068.78,5268918604.29,4641101543.8,796148524.98,627817060.49,0.8536,0.8808,0.1464,0.1192,15,12,2,1,0,10.38,16,46.2212,60.4406,17.2692,low
66,30,1,3.3333,90000000000.0,38.7852,124906689754.43,346963027.1,1628649210.02,1297970227.56,732543004.6,896106205.42,565427222.96,0.4498,0.5644,0.5502,0.4356,16,3,4,3,6,65.6,93,35.1654,65.4003,74.4986,high
67,12,1,8.3333,220000000000.0,40.3064,308674008590.99,2143569504.1,5298168920.46,4538759656.44,923561358.28,4374607562.19,3615198298.17,0.1743,0.2035,0.8257,0.7965,9,1,2,1,5,65.96,145,34.8114,104.9989,100.0,high
68,24,2,8.3333,90000000000.0,40.2125,126191278995.38,876328326.36,3243570874.39,2901242750.23,2875385198.1,368185676.29,25857552.13,0.8865,0.9911,0.1135,0.0089,11,8,2,1,0,2.61,6,54.4815,40.351,9.0,low
69,24,1,4.1667,70000000000.0,56.656,109659182470.22,380761050.24,826886150.97,810043470.36,788601234.05,38284916.92,21442236.31,0.9537,0.9735,0.0463,0.0265,8,7,1,0,0,4.54,7,47.7555,114.4141,9.0,low
70,12,1,8.3333,90000000000.0,50.6196,135557631414.65,941372440.38,3031608945.12,2675994766.9,2014046042.14,1017562902.99,661948724.77,0.6643,0.7526,0.3357,0.2474,11,4,4,1,2,28.78,44,45.63,73.4674,66.0591,high
71,36,1,2.7778,90000000000.0,66.9373,150243564260.18,347786028.38,1105839468.48,1136425001.55,939993325.39,165846143.09,196431676.16,0.85,0.8271,0.15,0.1729,11,6,4,0,1,12.94,27,55.9936,100.9674,34.6663,low
72,12,1,8.3333,70000000000.0,50.4151,105290592670.09,731184671.32,1406242690.17,1263862033.85,1269323518.24,136919171.93,0.0,0.9026,1.0,0.0974,0.0,9,8,0,1,0,0.8,3,34.9357,49.9713,9.0,low
73,20,1,5.0,120000000000.0,25.1159,150139114555.02,625579643.98,2435308236.14,1988348111.58,1953157030.47,482151205.66,35191081.11,0.802,0.9823,0.198,0.0177,11,8,1,2,0,3.07,18,45.2881,97.1988,9.0,low
74,24,1,4.1667,160000000000.0,49.4979,239196616104.98,830543805.92,1987094523.44,1767819867.44,1553674821.57,433419701.87,214145045.87,0.7819,0.8789,0.2181,0.1211,7,5,1,1,0,2.63,15,62.131,138.5909,30.6968,low
75,30,1,3.3333,160000000000.0,78.0756,284920985264.52,791447181.29,1128998736.78,986880157.78,547767572.74,581231164.04,439112585.04,0.4852,0.555,0.5148,0.445,7,3,2,1,1,32.44,35,61.7532,42.7725,73.9353,high
76,48,1,2.0833,120000000000.0,49.9935,179992228590.18,312486507.97,1017598089.21,866854418.46,673129826.9,344468262.32,193724591.56,0.6615,0.7765,0.3385,0.2235,13,6,4,2,1,6.08,33,40.7607,49.09,37.8589,medium
77,20,1,5.0,220000000000.0,80.2591,396569964809.04,1652374853.37,5307401642.01,4790700045.62,4807634287.23,499767354.77,0.0,0.9058,1.0,0.0942,0.0,14,12,1,1,0,3.04,9,42.5243,178.2711,10.5232,low
78,20,1,5.0,120000000000.0,65.633,198759608435.67,828165035.15,3279762633.44,2980366267.62,2685582796.19,594179837.24,294783471.43,0.8188,0.9011,0.1812,0.0989,15,12,2,1,0,2.72,12,26.4465,147.4483,12.537,low
79,36,1,2.7778,220000000000.0,68.5206,370745329005.29,858206780.1,1557415631.48,1311863959.29,1130293177.8,427122453.68,181570781.49,0.7257,0.8616,0.2743,0.1384,8,6,1,1,0,6.67,15,47.7981,78.2429,26.7569,low
80,12,1,8.3333,160000000000.0,25.8079,201292612821.02,1397865366.81,4487085595.73,3439087384.09,2991204346.98,1495881248.75,447883037.11,0.6666,0.8698,0.3334,0.1302,8,4,2,2,0,16.36,32,53.0114,38.95,37.109,medium
81,24,1,4.1667,90000000000.0,44.7641,130287668731.16,452387738.65,927086732.34,795216876.79,501658602.54,425428129.8,293558274.25,0.5411,0.6308,0.4589,0.3692,7,3,2,1,1,19.5,56,44.9168,68.4058,64.4749,medium
82,20,1,5.0,120000000000.0,45.9124,175094873321.1,729561972.17,3152421093.68,2827872526.9,2517004035.74,635417057.94,310868491.16,0.7984,0.8901,0.2016,0.1099,13,7,4,1,1,11.42,28,36.2566,107.2007,41.2096,medium
83,30,1,3.3333,160000000000.0,57.4535,251925537475.84,699793159.66,2078805265.62,1791202773.96,1628070909.31,450734356.32,163131864.65,0.7832,0.9089,0.2168,0.0911,13,8,3,2,0,21.6,26,31.6743,95.0335,33.8714,low
84,24,2,8.3333,160000000000.0,62.276,259641557374.94,1803066370.66,2546129431.45,2192891833.33,1187934888.03,1358194543.42,1004956945.3,0.4666,0.5417,0.5334,0.4583,7,3,2,1,1,32.44,40,55.2458,105.5427,73.9697,high
85,12,1,8.3333,120000000000.0,39.4142,167297068455.75,1161785197.61,5243930414.11,4083481274.61,2716087936.93,2527842477.18,1367393337.68,0.5179,0.6651,0.4821,0.3349,15,5,5,3,2,12.69,20,48.2835,69.5191,53.2447,medium
86,30,1,3.3333,120000000000.0,49.5119,179414254842.42,498372930.12,1238346205.91,1145467725.95,1158772156.19,79574049.72,0.0,0.9357,1.0,0.0643,0.0,10,8,1,1,0,3.36,6,26.8245,122.2967,12.5878,low
87,24,1,4.1667,90000000000.0,56.3173,140685561609.5,488491533.37,2066018635.12,1868376728.73,1763108125.41,302910509.7,105268603.31,0.8534,0.9437,0.1466,0.0563,16,12,3,1,0,10.59,14,35.7797,64.0622,25.7729,low
88,60,1,1.6667,220000000000.0,33.1467,292922633835.56,406836991.44,1054662521.16,791643974.5,644105748.88,410556772.28,147538225.62,0.6107,0.8136,0.3893,0.1864,8,4,2,2,0,8.73,27,48.359,151.5661,33.5917,low
89,30,1,3.3333,160000000000.0,68.7451,269992093594.93,749978037.76,1568109163.85,1612266354.65,1560268618.03,7840545.82,51997736.63,0.995,0.9677,0.005,0.0323,8,7,1,0,0,2.25,7,57.5639,60.5134,9.0,low
90,12,1,8.3333,160000000000.0,40.2805,224448832594.52,1558672448.57,8153239647.32,6885122758.82,5947738540.51,2205501106.81,937384218.32,0.7295,0.8639,0.2705,0.1361,16,12,1,2,1,10.3,12,46.3811,146.5645,23.4771,low
91,30,1,3.3333,120000000000.0,37.9966,165595930632.66,459988696.2,1565748948.24,1303262234.15,1167153737.22,398595211.01,136108496.93,0.7454,0.8956,0.2546,0.1044,13,7,3,2,1,6.77,24,63.4791,105.0856,29.4761,low
92,24,1,4.1667,160000000000.0,61.4138,258262007386.97,896743081.2,3919512810.87,3062913679.85,1855535179.13,2063977631.74,1207378500.72,0.4734,0.6058,0.5266,0.3942,16,3,5,3,5,38.38,106,55.6568,77.8267,81.4514,high
93,20,1,5.0,90000000000.0,51.688,136519204126.93,568830017.2,1351024920.16,1182379441.25,1156815692.59,194209227.57,25563748.67,0.8563,0.9784,0.1437,0.0216,8,7,0,1,0,0.63,1,47.0366,73.2343,9.0,low
94,12,1,8.3333,90000000000.0,61.1217,145009486045.31,1007010319.76,1674417397.46,1628208064.14,1590902602.33,83514795.13,37305461.82,0.9501,0.9771,0.0499,0.0229,6,5,1,0,0,5.24,14,26.1962,91.9466,13.1054,low
95,24,1,4.1667,70000000000.0,18.0,82600000000.0,286805555.56,1410890605.39,1081954596.94,451319825.6,959570779.79,630634771.33,0.3199,0.4171,0.6801,0.5829,14,4,4,3,3,30.73,107,41.4489,52.5178,84.5824,high
96,20,1,5.0,160000000000.0,47.6361,236217758536.6,984240660.57,4782432762.49,4113317499.16,3687806914.37,1094625848.12,425510584.79,0.7711,0.8966,0.2289,0.1034,15,8,4,2,1,19.74,34,51.6665,133.0061,31.035,low
97,20,1,5.0,160000000000.0,48.3175,237307938459.34,988783076.91,3934091984.07,3300695484.55,1433298701.35,2500793282.72,1867396783.2,0.3643,0.4342,0.6357,0.5658,15,2,6,2,5,105.21,113,20.0,77.9921,95.631,high
98,24,1,4.1667,160000000000.0,63.8142,262102733698.93,910078936.45,2204788380.81,1922233704.58,1510406045.14,694382335.67,411827659.44,0.6851,0.7858,0.3149,0.2142,9,5,3,1,0,14.71,24,38.188,101.7679,36.8453,medium
99,24,1,4.1667,90000000000.0,40.3167,126285065825.97,438489811.9,2090756749.7,2018166929.96,1978360360.13,112396389.57,39806569.82,0.9462,0.9803,0.0538,0.0197,14,13,0,1,0,1.67,2,51.6678,54.822,9.0,low
100,12,1,8.3333,220000000000.0,68.5,370699939093.22,2574305132.59,10954908172.97,10673539820.99,10594812719.37,360095453.59,78727101.62,0.9671,0.9926,0.0329,0.0074,16,14,1,1,0,2.98,9,39.5743,69.3098,9.0,low
101,30,1,3.3333,160000000000.0,73.5853,277736410322.49,771490028.67,2622928632.54,2149532244.02,1726930974.14,895997658.4,422601269.88,0.6584,0.8034,0.3416,0.1966,13,6,5,2,0,20.89,33,77.2378,75.3743,43.406,medium
102,36,1,2.7778,90000000000.0,51.7561,136580525591.04,316158624.05,1461774147.12,1321476377.42,1317631654.57,144142492.55,3844722.86,0.9014,0.9971,0.0986,0.0029,14,13,0,1,0,0.71,1,38.8343,102.0736,9.0,low
103,30,2,6.6667,160000000000.0,34.0395,214463215452.19,1191462308.07,4524450514.09,4303027450.09,2457748676.42,2066701837.67,1845278773.67,0.5432,0.5712,0.4568,0.4288,15,4,5,1,5,69.12,79,46.7557,77.1837,80.0323,high
104,20,1,5.0,120000000000.0,86.6464,223975675872.89,933231982.8,1976312785.67,1754506403.7,1658570441.68,317742343.99,95935962.02,0.8392,0.9453,0.1608,0.0547,12,9,2,1,0,6.99,12,33.2593,112.9778,14.4452,low
105,60,1,1.6667,160000000000.0,63.9626,262340202637.38,364361392.55,1123972970.88,1047518207.29,1026576441.79,97396529.09,20941765.51,0.9133,0.98,0.0867,0.02,10,8,1,1,0,3.41,5,53.3542,131.8632,9.0,low
106,36,1,2.7778,160000000000.0,37.9736,220757789429.61,511013401.46,888041554.33,892882913.74,792953173.25,95088381.08,99929740.49,0.8929,0.8881,0.1071,0.1119,7,6,1,0,0,2.24,13,32.6308,108.3996,20.4789,low
107,48,1,2.0833,160000000000.0,77.2247,283559574897.62,492290928.64,1438316246.36,1138677020.36,1125383495.36,312932751.0,13293525.0,0.7824,0.9883,0.2176,0.0117,11,9,0,2,0,0.8,1,42.2661,44.038,9.0,low
108,30,1,3.3333,120000000000.0,59.8132,191775878480.4,532710773.56,1672639278.51,1458929198.58,1333808445.34,338830833.17,125120753.25,0.7974,0.9142,0.2026,0.0858,13,7,4,2,0,18.65,35,60.3596,85.1963,29.3482,low
109,30,1,3.3333,120000000000.0,64.2005,197040575548.69,547334932.08,1595287313.77,1379629885.36,1191124282.5,404163031.27,188505602.85,0.7467,0.8634,0.2533,0.1366,15,12,1,2,0,8.11,16,34.2532,92.3907,22.4936,low
110,48,1,2.0833,300000000000.0,72.2705,516811371219.6,897241963.92,2360765055.07,2242444453.99,2078245648.25,282519406.83,164198805.74,0.8803,0.9268,0.1197,0.0732,13,10,2,1,0,8.94,11,44.5766,67.9,9.0,low
111,20,1,5.0,120000000000.0,38.2305,165876574674.55,691152394.48,3424400494.32,2781192886.79,2055388537.94,1369011956.38,725804348.85,0.6002,0.739,0.3998,0.261,14,4,5,3,2,27.46,36,56.1765,45.3682,55.7937,medium
112,48,1,2.0833,220000000000.0,71.3629,376998324056.27,654510979.26,2562539147.3,2077520831.76,1253561534.96,1308977612.34,823959296.8,0.4892,0.6034,0.5108,0.3966,16,5,5,3,3,16.98,49,70.8816,104.9708,67.1433,high
